Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAP-SMD_BD8.0-L8.3-W8.3-LS9.1-FD,1,C_Polarized,C970687
C2, CAP-SMD_BD8.0-L8.3-W8.3-LS9.1-FD,1,C_Polarized,C970687
C3, CAP-SMD_BD8.0-L8.3-W8.3-LS9.1-FD,1,C_Polarized,C970687
C4, CAP-SMD_BD8.0-L8.3-W8.3-LS9.1-FD,1,C_Polarized,C970687
C_O1, CAP-SMD_BD8.0-L8.3-W8.3-LS9.1-FD,1,C_Polarized,C970687
C_O2,CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,1,C_Polarized,C970698
C_O3, CAP-SMD_BD8.0-L8.3-W8.3-LS9.1-FD,1,C_Polarized,C970687
C_O4, CAP-SMD_BD8.0-L8.3-W8.3-LS9.1-FD,1,C_Polarized,C970687
C_T1,C0603,1,C,C1627
 C_T2,C0603,1,C,C1630
C_T3,C0603,1,C,C1594
C_T4,C0603,1,C,C1643
D1, SMA_L4.3-W2.6-LS5.2-RD,1,SS34, SS34
D10, SMA_L4.3-W2.6-LS5.2-RD,1,SS34, SS34
D11, SMA_L4.3-W2.6-LS5.2-RD,1,SS34,SS34
D2, SMA_L4.3-W2.6-LS5.2-RD,1,SS34,SS34
D3, SMA_L4.3-W2.6-LS5.2-RD,1,SS34,SS34
D4, SMA_L4.3-W2.6-LS5.2-RD,1,SS34,SS34
L1,IND-SMD_L12.3-W12.3_SMDRI127+A31:A47,1,L1,C10150
L2,IND-SMD_L12.3-W12.3_SMDRI127+A31:A47,1,L1,C10150
L3,IND-SMD_L12.3-W12.3_SMDRI127+A31:A47,1,L1,C10150
L4,IND-SMD_L12.3-W12.3,1,L4,C21325
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,Q_NMOS_GSD,C20917
R1, R0805,1,R, C17630
R11, R0805,1,R, C17379
R12, R0805,1,R,C1365
R2, R0805,1,R, C17630
R21, R0805,1,R, C17379
R22, R0805,1,R,C1365
R3, R0805,1,R, C17630
R30,R1206,1,R30, C17924
R31, R0805,1,R, C4310
R32, R0805,1,R, C17455
R4, R0805,1,R, C17630
R40,R1206,1,R40,C17924
R41,R1206,1,R, C1469
R42,R0603,1,R,C2684583
R_PD1,R1206,1,R, C1489
R_SC1,R1206,1,R, C25337
R_SC2,R1206,1,R, C25337
R_SC3,R0603,1,R, C23411
R_SC4,R1206,1,R, C17899
U1,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,MC34063ADR, MC34063ADR
U2,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,MC34063ADR,MC34063ADR
U3,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,MC34063ADR,MC34063ADR
U4,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,MC34063ADR,MC34063ADR
U5,OPTO-SMD-4_L4.6-W6.5-P2.54-LS10.3-BL,1,LTV-817,
U?,CONN-TH_XH-2A,1,CONN-TH_XH-2A,
U?_4,CONN-TH_XH-2A,1,CONN-TH_XH-2A,
U?_5,CONN-TH_XH-2A,1,CONN-TH_XH-2A,
U?_6,CONN-TH_XH-2A,1,CONN-TH_XH-2A,
U?_7,CONN-TH_XH-2A,1,CONN-TH_XH-2A,
U?_8,CONN-TH_XH-2A,1,CONN-TH_XH-2A,
U?_9,CONN-TH_XH-2A,1,CONN-TH_XH-2A,
U?_10,CONN-TH_XH-2A,1,CONN-TH_XH-2A,
U?_3,CONN-TH_4P-P2.50_XH-4A,1,CONN-TH_4P-P2.50_XH-4A,
U?_2,CONN-TH_XH-3A,1,CONN-TH_XH-3A,
