"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"U?,U?";"CONN-TH_XH-2A";2;"CONN-TH_XH-2A";;;
2;"U?";"CONN-TH_4P-P2.50_XH-4A";1;"CONN-TH_4P-P2.50_XH-4A";;;
3;"R31,R32,R22,R21,R12,R11,R3,R2,R1";"R0805";9;"R";;;
4;"D3,D12,D11,D10,D4,D2,D1";"SMA_L4.3-W2.6-LS5.2-RD";7;"1N5822";;;
5;"U?";"CONN-TH_XH-3A";1;"CONN-TH_XH-3A";;;
6;"R42";"R0402";1;"R";;;
7;"C_O4,C_O3,C_O1,C4,C3,C2,C1";"CAP-SMD_BD8.0-L8.3-W8.3-LS9.1-FD";7;"C_Polarized";;;
8;"U?";"CONN-TH_5P-P2.50_XH-5A_C2318";1;"CONN-TH_5P-P2.50_XH-5A_C2318";;;
9;"U4";"SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL";1;"Regulator 12V-12.6V";;;
10;"U3";"SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL";1;"Regulator 11.1V-12V";;;
11;"U2";"SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL";1;"Regulator 11.1V-5V";;;
12;"U1";"SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL";1;"Regulator 12V-5V";;;
13;"R_SC4,R_SC2,R_SC1,R_PD1,R41";"R1206";5;"R";;;
14;"R_SC3";"R0603";1;"R";;;
15;"R40";"R1206";1;"R40";;;
16;"R30";"R1206";1;"R30";;;
17;"Q1";"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR";1;"Q_NMOS_GSD";;;
18;"L4";"IND-SMD_L12.3-W12.3";1;"L4";;;
19;"L3";"IND-SMD_L12.3-W12.3_SMDRI127";1;"L3";;;
20;"L2";"IND-SMD_L12.3-W12.3_SMDRI127";1;"L2";;;
21;"L1";"IND-SMD_L12.3-W12.3_SMDRI127";1;"L1";;;
22;"C_T4,C_T3,C_T2,C_T1";"C0603";4;"C";;;
23;"C_O2";"CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD";1;"C_Polarized";;;
